ropa;baryłka
SapphireSpinel;karat
Amethyst;karat
CopperRuby;karat
MalaiaGarnet;karat
Sard;karat
AmethystQuartz;karat
Cornelian;karat
MalayaGarnet;karat
Sardonyx;karat
Ametrine;karat
MaliGarnet;karat
ScallopPearl;karat
AnconaRuby;karat
CornishDiamond;karat
MandarinGarnet;karat
Schorl;karat
AndamookaOpal;karat
CortezPearl;karat
SherryTopaz;karat
Corundum;karat
MarmoroschDiamond;karat
SiamAquamarine;karat
Anyolite;karat
CrazyLaceAgate;karat
SiberianRuby;karat
Aquamarine;karat
Csarite;karat
MascotEmerald;karat
Siberite;karat
ArizonaRuby;karat
CulturedPearl;karat
MassAqua;karat
SilverTopaz;karat
ArizonaTiger'sEye;karat
Cyanite;karat
MaturaDiamond;karat
Simetite;karat
ArkansasDiamond;karat
Cymophane;karat
MedinaEmerald;karat
SlocumStone;karat
AustralianJade;karat
Melanite;karat
SmokeyQuartz;karat
AustralianRuby;karat
DauphineDiamond;karat
MeloPearl;karat
SmokyQuartz;karat
Demantoid;karat
MexicanFireOpal;karat
SmokyTopaz;karat
Aventurine;karat
DendriticAgate;karat
MilkyQuartz;karat
SnakeskinAgate;karat
DeschutesJasper;karat
MintGarnet;karat
AventurineQuartz;karat
Dichroite;karat
MontanaRuby;karat
SouthAfricanJade;karat
AzoticTopaz;karat
DominicanAmber;karat
MorganHillJasper;karat
SouthSeaPearl;karat
Azure-Malachite;karat
Dravite;karat
Morganite;karat
SpanishEmerald;karat
BaffaDiamond;karat
Morion;karat
SpanishTopaz;karat
BahiaBlueQuartz;karat
EgyptianJasper;karat
Morrisonite;karat
Spectrolite;karat
BahiaTopaz;karat
EilatStone;karat
MossAgate;karat
Spessartine;karat
BalasRuby;karat
Elbaite;karat
MossJasper;karat
SpinelRuby;karat
BalticAmber;karat
ElieRuby;karat
MossOpal;karat
Spinell;karat
BandedOpal;karat
Emerald;karat
StarDiopside;karat
BengalAmethyst;karat
Emeraldine;karat
MozambiqueGarnet;karat
StarEmerald;karat
Bi-ColoredSapphire;karat
Emeraldite;karat
MozambiqueRuby;karat
StarGarnet;karat
BiggsJasper;karat
EnduraEmerald;karat
MysticTopaz;karat
StarMoonstone;karat
Binghamite;karat
Essonite;karat
StarRoseQuartz;karat
BironEmerald;karat
EveningEmerald;karat
NaturalPearl;karat
StarRuby;karat
Bixbite;karat
EveningEmerald;karat
NavajoTurquoise;karat
StarSapphire;karat
BlackCoral;karat
EyeAgate;karat
StarSunstone;karat
BlackDiamond;karat
FalseTopaz;karat
NevadaOpal;karat
StarTopaz;karat
BlackOnyx;karat
Fancy;karat
NickelSilver;karat
Starlite;karat
BlackOpal;karat
FancySapphire;karat
NightEmerald;karat
SterlingSilver;karat
BlackPearl;karat
Ferrer'sEmerald;karat
NobleOrthoclose;karat
StoneCanyonJasper;karat
BloodJasper;karat
FireAgate;karat
StrassDiamond;karat
Bloodstone;karat
FireOpal;karat
OceanJasper;karat
StrawberryQuartz;karat
BlueAlexandrite;karat
FlameSpinel;karat
Olivine;karat
Succinite;karat
BlueAmber;karat
FlashOpal;karat
Onyx;karat
SwarovskiDiamond;karat
BlueDenimStone;karat
Fluorspar;karat
OnyxAgate;karat
SwissBlueTopaz;karat
BlueDenimStone;karat
Fool'sGold;karat
OnyxOpal;karat
SwissLapis;karat
BlueGold;karat
Opal;karat
TahitiPearl;karat
BlueJohn;karat
FossilTurquoise;karat
OpalJasper;karat
TahitianPearl;karat
BlueKunzite;karat
FreshwaterPearl;karat
OpalMatrix;karat
TangerineGarnet;karat
BlueLaceAgate;karat
Gahnospinel;karat
OrbicularJasper;karat
Tanzanite;karat
BlueMoonQuartz;karat
GarnetJade;karat
OregonJade;karat
BlueQuartz;karat
GarnetRuby;karat
OregonSunstone;karat
TeclaEmerald;karat
BlueSpinel;karat
GenevaRuby;karat
OrientalAmethyst;karat
Thulite;karat
BlueTiger'sEye;karat
GermanSilver;karat
OrientalCat'sEye;karat
TigerEye;karat
BlueZoisite;karat
GilsonEmerald;karat
OrientalEmerald;karat
TigerIron;karat
BohemianEmerald;karat
GilsonLapis;karat
OrientalPearl;karat
Tigereye;karat
BohemianGarnet;karat
GilsonOpal;karat
OrientalPeridot;karat
TigersEye;karat
BohemianRuby;karat
GoldSapphire;karat
OrientalTopaz;karat
Tiger'sEye;karat
BoneTurquoise;karat
GoldTopaz;karat
Tiger'sEyeMatrix;karat
BonyAmber;karat
GoldenBeryl;karat
OwyheeJasper;karat
TopazQuartz;karat
Bort;karat
GooseberryGarnet;karat
Padparadschah;karat
Topazolite;karat
BotswanaAgate;karat
Goshenite;karat
BoulderOpal;karat
GreenAmethyst;karat
PecosDiamond;karat
TraansvaalEmerald;karat
GreenGold;karat
PersianTurquoise;karat
TransvaalJade;karat
BrazilianEmerald;karat
GreenJasper;karat
Petschite;karat
TrapicheEmerald;karat
BrazilianRuby;karat
Grossularite;karat
Pezzottaite;karat
Triphane;karat
BrazilianSapphire;karat
Hackmanite;karat
Piconite;karat
Tsavorite;karat
BrazilianTopaz;karat
Halfbreed;karat
Picotite;karat
BrecciatedJasper;karat
HarlequinOpal;karat
PictureJasper;karat
Ultralite;karat
BristolDiamond;karat
Hawk'sEye;karat
Pigeon'sBloodRuby;karat
UmbaGarnet;karat
BritanniaSilver;karat
Heliodor;karat
PinfireOpal;karat
Umbalite;karat
BroghtonEmerald;karat
Heliodorite;karat
PinkBeryl;karat
UralianEmerald;karat
BruneauJasper;karat
Heliotrope;karat
PinkEmerald;karat
UralianSapphire;karat
BurmaRuby;karat
HerkimerDiamond;karat
Plasma;karat
Utahlite;karat
BurmaSapphire;karat
Hessonite;karat
Pleonast;karat
Utahlite;karat
BurmeseSapphire;karat
Hiddenite;karat
Pleonaste;karat
VallumDiamond;karat
BurmeseRuby;karat
HollyBlue;karat
PoppyJasper;karat
VarisciteQuartz;karat
Burmite;karat
HoneyOpal;karat
Prase;karat
Verdelite;karat
Cairngorm;karat
HopeSapphire;karat
Prasiolite;karat
Vermeil;karat
CaliforniaRuby;karat
HotSpringsDiamond;karat
PreciousCat'sEye;karat
VerneuilRuby;karat
CanaryDiamond;karat
HungarianOpal;karat
PreciousCoral;karat
VerneuilSapphire;karat
CanaryTourmaline;karat
Hyacinth;karat
PreciousFireOpal;karat
Violane;karat
CapeEmerald;karat
Hyalite;karat
PreciousGarnet;karat
VirginValleyOpal;karat
CapeMayDiamond;karat
Hydrogrossular;karat
PreciousGarnet;karat
Viridine;karat
CapeRuby;karat
ImperialGarnet;karat
PreciousOpal;karat
Wascoite;karat
Carbuncle;karat
ImperialJade;karat
PreciousTopaz;karat
WaterSapphire;karat
Carnelian;karat
ImperialTopaz;karat
PressedAmber;karat
CarnelianAgate;karat
IncaRose;karat
Quartz;karat
WaxOpal;karat
CarnelianOnyx;karat
IndianEmerald;karat
RainbowMoonstone;karat
WhiteCliffsOpal;karat
Cat'sEye;karat
IndianJade;karat
RaspberryBeryl;karat
WhiteGold;karat
IndianTopaz;karat
RaspberryGarnet;karat
WhiteOpal;karat
Cat'sEyeEmerald;karat
Indicolite;karat
RedBeryl;karat
WhiteTopaz;karat
Cat'sEyeMoonstone;karat
Indigolite;karat
RedCoral;karat
Wiluite;karat
Cat'sEyeQuartz;karat
IrisAgate;karat
RedFireQuartz;karat
YellowGold;karat
Jacinth;karat
RedLabradorite;karat
YellowKunzite;karat
Catseye;karat
Jargon;karat
RegencyEmerald;karat
YellowTanzanite;karat
CaveCreekJasper;karat
Jargoon;karat
Rhodolite;karat
YowahNut;karat
CesiumBeryl;karat
Jasper;karat
RibandJasper;karat
ZabeltitzenDiamond;karat
CeylonSapphire;karat
JasperJade;karat
RibbonJasper;karat
ZambianEmerald;karat
Chalcedony;karat
Jaspilite;karat
RockCrystal;karat
ZebraJasper;karat
ChathanEmerald;karat
JellyOpal;karat
RockyMountainRuby;karat
ZerfassEmerald;karat
CherryOpal;karat
JouradoDiamond;karat
Rogueite;karat
Zultanite;karat
